Layer,Expert_ID,Total_Activations,Shapley_Value
5,23,8,0.3406562847608454
5,44,9,0.0
5,15,1,0.0
5,98,25,0.0
5,6,5,0.0
5,50,0,0.0
5,57,0,0.0
5,92,0,0.0
5,119,0,0.0
5,28,0,0.0
5,121,0,0.0
5,124,0,0.0
5,127,0,0.0
5,26,25,0.0
5,69,1,0.0
5,14,0,0.0
5,27,0,0.0
6,114,8747,587.823275862029
6,92,6396,438.16895315783955
6,121,5875,399.298603386484
6,61,5184,353.4158324063821
6,49,5016,329.2497616399103
6,84,3647,243.98043897012386
6,34,3195,219.76136080318415
6,123,2958,196.4397576254362
6,8,2397,164.841604049853
6,103,2202,146.07831452937106
6,56,2065,140.95864383676084
6,71,1989,137.72396772275638
6,72,1825,121.74266524021552
6,67,1666,112.81892391370785
6,33,1557,103.7297747326614
6,53,1507,103.65279112714158
6,1,1487,99.54769464231815
6,105,1299,89.87056979018759
6,85,1261,84.98762211636073
6,55,1134,74.96598161927484
6,24,1002,67.41908353455085
6,35,1024,67.00500556173493
6,83,975,64.3244177031714
6,30,866,58.554945443556846
6,4,874,58.30406488399141
6,118,836,53.59610542047404
6,78,803,52.804041527623035
6,62,709,46.97505860872449
6,110,617,41.997513418361386
6,42,552,37.72210981550397
6,126,517,35.5056564285988
6,88,530,33.666386953665274
6,12,507,33.280123658321656
6,19,471,30.53729196630377
6,14,383,26.09004074952828
6,7,370,24.267449396967816
6,117,352,23.708726069902266
6,43,356,23.440852916188636
6,94,313,20.940985778797994
6,107,311,20.10433279279522
6,115,292,19.826867016992047
6,100,280,18.307512521941526
6,75,257,17.558572024471648
6,44,248,16.22773589310483
6,112,235,15.833141159553996
6,13,249,15.811797358445766
6,15,243,15.556996986943425
6,82,226,14.62558288629402
6,79,196,13.137654892382393
6,127,189,12.772915027537396
6,48,187,12.747676105354248
6,47,191,12.640101320307553
6,25,194,12.531529555531197
6,52,165,10.945554798043249
6,54,172,10.735026512738003
6,28,162,10.696860147638795
6,86,130,8.787901307966703
6,101,129,8.648649465589777
6,64,124,8.439328722735393
6,104,122,7.955267757826153
6,39,121,7.885105314148343
6,16,111,7.492257192087065
6,109,107,7.014889732553074
6,26,100,6.5288592263008365
6,10,99,6.4159283430696155
6,76,96,6.282141187470776
6,108,95,6.242539135624951
6,6,94,5.760212872690789
6,95,90,5.748275142879061
6,38,87,5.642234061237632
6,18,83,5.540309395496907
6,98,84,5.440842863170351
6,37,69,4.693163620497868
6,27,68,4.250303367377899
6,116,64,4.1646349825529105
6,74,58,3.7506060865348947
6,0,56,3.6521557769502344
6,41,54,3.5645666902619078
6,93,55,3.4065628476084555
6,77,56,3.240098560153159
6,58,52,3.1891226658462135
6,22,46,2.842664689160797
6,32,41,2.7571942963445983
6,91,41,2.7264146807892744
6,122,47,2.558398220244717
6,46,36,2.3982369717396947
6,119,38,2.2752553342097284
6,20,34,2.1042628292153136
6,120,37,2.085650723025583
6,80,39,2.0779260907180817
6,23,41,2.0682703003337055
6,87,30,1.9219513930206686
6,9,31,1.8814307563959969
6,50,32,1.6163793103448285
6,111,23,1.3503782716631432
6,90,25,1.2600806451612907
6,99,20,1.243806249367985
6,96,23,1.2004396056501139
6,2,23,1.0726203718417293
6,124,22,1.042825361512792
6,89,14,0.7357712272895812
6,70,13,0.6239571746384873
6,36,21,0.5909343715239156
6,97,13,0.5474833147942159
6,63,13,0.39395624768261034
6,3,6,0.32903759123531484
6,17,6,0.2398498331479422
6,29,6,0.23173896922506493
6,81,6,0.1536795269597799
6,106,6,0.13904338153503895
6,65,4,0.13677636987957636
6,45,0,0.0
6,66,0,0.0
6,125,3,0.0
6,60,0,0.0
6,59,0,0.0
6,5,0,0.0
6,11,0,0.0
6,51,1,0.0
6,57,1,0.0
6,73,0,0.0
6,68,0,0.0
6,113,0,0.0
6,102,0,0.0
6,69,25,0.0
6,21,0,0.0
6,31,0,0.0
6,40,0,0.0
7,99,7089,453.795884315932
7,15,5631,375.1920994087107
7,13,5190,354.6669502061124
7,109,4772,324.09402259820934
7,74,3673,245.27332412770184
7,3,3028,205.04263997033868
7,98,2777,188.86232930205352
7,53,2604,171.6927076596709
7,96,2416,164.91727391735506
7,68,2142,146.0059212507457
7,114,2116,142.1165967884549
7,18,2104,139.37167840810872
7,116,1918,129.43509402971253
7,19,1686,115.22202385707898
7,49,1406,96.68777155710147
7,39,1412,94.90658812822193
7,17,1303,87.38356741135084
7,60,1286,86.27904170252062
7,38,1223,81.27008831175272
7,124,1215,79.16758056682652
7,75,1090,71.7850080336178
7,83,1072,71.65714807497622
7,51,1069,70.45399446678692
7,43,1054,70.43976692690791
7,20,1036,69.4736103458678
7,87,985,66.36592579501695
7,112,999,65.59757755530767
7,59,968,63.63165863304919
7,95,897,61.535914674991844
7,50,872,59.7287348127754
7,125,765,51.5319309036182
7,72,768,50.88541294608692
7,115,714,47.15356512332757
7,101,661,43.34291187739473
